learner_id,resource_id,views,completion_rate,time_on_task_min,quiz_score,liked,implicit_score
U001,R006,1,0.496,4.0,89.0,0,0.3865
U001,R056,5,0.619,29.0,94.0,0,0.7982
U001,R118,3,0.79,48.0,65.0,1,0.712
U001,R108,5,0.464,11.0,80.0,0,0.666
U001,R117,5,0.583,23.0,72.0,0,0.7234
U001,R077,5,0.537,12.0,91.0,0,0.7099
U001,R115,3,0.603,21.0,85.0,0,0.6071
U001,R035,4,0.478,12.0,100.0,0,0.6431
U001,R093,5,0.55,9.0,78.0,0,0.6762
U001,R119,2,0.598,31.0,89.0,0,0.5802
U001,R053,2,0.447,9.0,86.0,0,0.4565
U001,R069,5,0.324,18.0,79.0,0,0.6545
U001,R098,2,0.641,28.0,62.0,0,0.5261
U001,R114,5,0.668,16.0,88.0,1,0.7512
U001,R038,1,0.439,9.0,80.0,0,0.3725
U001,R067,5,0.368,14.0,88.0,0,0.6689
U002,R023,5,0.531,20.0,72.0,0,0.6995
U002,R044,1,0.496,12.0,70.0,0,0.3776
U002,R005,5,0.632,26.0,77.0,0,0.7565
U002,R039,1,0.703,7.0,73.0,0,0.4172
U002,R068,2,0.442,12.0,71.0,0,0.4361
U002,R016,3,0.475,8.0,78.0,0,0.5138
U002,R056,4,0.779,40.0,61.0,1,0.7422
U002,R066,4,0.684,19.0,75.0,1,0.6701
U002,R093,2,0.637,18.0,69.0,0,0.5027
U002,R006,2,0.629,4.0,73.0,0,0.4578
U002,R041,2,0.491,18.0,83.0,0,0.4942
U002,R097,5,0.625,22.0,69.0,0,0.7242
U002,R019,2,0.558,26.0,72.0,0,0.518
U002,R055,1,0.497,4.0,60.0,0,0.3288
U002,R037,1,0.55,12.0,78.0,0,0.4071
U002,R043,5,0.724,22.0,66.0,1,0.743
U002,R057,1,0.707,31.0,78.0,0,0.5155
U002,R036,1,0.593,26.0,71.0,0,0.4548
U003,R014,1,0.473,4.0,69.0,0,0.3408
U003,R058,2,0.402,18.0,87.0,0,0.48
U003,R023,5,0.717,36.0,77.0,1,0.8142
U003,R018,4,0.457,8.0,71.0,0,0.5653
U003,R098,3,0.583,24.0,58.0,0,0.559
U003,R118,5,0.551,24.0,76.0,0,0.727
U003,R115,1,0.542,14.0,99.0,0,0.4544
U003,R087,1,0.625,9.0,87.0,0,0.433
U003,R015,1,0.794,34.0,83.0,1,0.5581
U003,R075,1,0.657,6.0,79.0,0,0.4141
U003,R119,5,0.632,22.0,95.0,0,0.778
U003,R020,4,0.549,24.0,84.0,0,0.6725
U003,R090,1,0.641,25.0,76.0,0,0.4732
U003,R057,2,0.496,11.0,90.0,0,0.484
U003,R080,4,0.747,4.0,75.0,1,0.6313
U003,R100,1,0.568,13.0,69.0,0,0.3973
U003,R054,4,0.306,14.0,75.0,0,0.5574
U004,R093,2,0.612,29.0,98.0,0,0.5945
U004,R070,4,0.646,18.0,100.0,0,0.707
U004,R008,3,0.433,7.0,100.0,0,0.5437
U004,R104,4,0.386,20.0,84.0,0,0.6172
U004,R063,5,0.618,16.0,84.0,0,0.7307
U004,R115,1,0.556,13.0,86.0,0,0.4283
U004,R087,4,0.761,33.0,88.0,1,0.7662
U004,R030,3,0.565,15.0,80.0,0,0.5658
U004,R043,2,0.397,12.0,100.0,0,0.4829
U004,R108,1,0.435,7.0,90.0,0,0.3842
U004,R091,2,0.526,4.0,87.0,0,0.46
U004,R110,2,0.692,17.0,95.0,0,0.5648
U004,R106,1,0.443,16.0,82.0,0,0.4029
U004,R026,3,0.477,11.0,87.0,0,0.5432
U004,R071,2,0.573,18.0,89.0,0,0.5267
U004,R118,1,0.621,29.0,100.0,0,0.5307
U004,R065,5,0.649,10.0,100.0,0,0.7486
U004,R085,4,0.64,8.0,100.0,0,0.6691
U004,R100,2,0.714,8.0,98.0,0,0.5436
U004,R114,5,0.666,11.0,92.0,1,0.7405
U004,R064,3,0.74,25.0,84.0,0,0.6539
U005,R107,1,0.669,10.0,73.0,0,0.4196
U005,R103,1,0.722,28.0,63.0,0,0.4783
U005,R008,4,0.636,20.0,63.0,0,0.6377
U005,R064,4,0.436,33.0,61.0,0,0.631
U005,R025,2,0.595,21.0,73.0,0,0.5111
U005,R077,3,0.779,26.0,90.0,1,0.6793
U005,R014,2,0.468,8.0,92.0,0,0.4701
U005,R110,1,0.606,25.0,75.0,0,0.4624
U005,R105,4,0.728,4.0,60.0,1,0.5965
U005,R088,1,0.452,19.0,65.0,0,0.3821
U005,R010,3,0.285,4.0,81.0,0,0.4578
U005,R068,1,0.463,21.0,57.0,0,0.3761
U005,R119,4,0.711,33.0,72.0,1,0.7218
U005,R024,3,0.705,38.0,94.0,0,0.7124
U005,R081,5,0.428,25.0,77.0,0,0.7019
U005,R050,2,0.747,18.0,75.0,0,0.5422
U005,R073,3,0.473,22.0,73.0,0,0.5542
U005,R101,3,0.573,28.0,73.0,0,0.6011
U005,R117,5,0.68,38.0,72.0,1,0.8022
U005,R043,3,0.592,21.0,63.0,0,0.5604
U006,R013,1,0.226,4.0,67.0,0,0.275
U006,R100,1,0.363,4.0,71.0,0,0.3173
U006,R005,2,0.574,17.0,63.0,0,0.4713
U006,R111,1,0.766,19.0,60.0,0,0.4506
U006,R015,3,0.634,12.0,72.0,0,0.5561
U006,R116,1,0.655,49.0,70.0,0,0.5519
U006,R065,3,0.643,4.0,72.0,0,0.5293
U006,R019,4,0.823,32.0,74.0,1,0.7501
U006,R107,5,0.898,12.0,77.0,1,0.7721
U007,R004,3,0.828,4.0,97.0,1,0.6255
U007,R030,2,0.433,19.0,93.0,0,0.5033
U007,R097,3,0.5,8.0,86.0,0,0.5361
U007,R057,4,0.57,19.0,91.0,0,0.6736
U007,R088,4,0.68,18.0,89.0,1,0.6935
U007,R041,2,0.589,22.0,100.0,0,0.5672
U007,R071,3,0.572,18.0,100.0,0,0.6185
U007,R010,1,0.67,43.0,67.0,0,0.5279
U007,R043,3,0.637,13.0,85.0,0,0.5865
U007,R108,5,0.485,9.0,89.0,0,0.682
U007,R018,2,0.663,20.0,88.0,0,0.5545
U007,R039,2,0.61,8.0,94.0,0,0.5096
U007,R051,5,0.628,25.0,91.0,0,0.7799
U007,R058,1,0.609,36.0,92.0,0,0.5372
U007,R012,1,0.989,40.0,91.0,1,0.6447
U007,R034,1,0.672,11.0,88.0,0,0.454
U008,R070,2,0.742,18.0,76.0,0,0.543
U008,R060,3,0.425,16.0,76.0,0,0.5264
U008,R014,3,0.351,10.0,83.0,0,0.5001
U008,R076,5,0.532,12.0,75.0,0,0.6766
U008,R041,5,0.534,34.0,87.0,0,0.7811
U008,R112,2,0.296,12.0,68.0,0,0.3936
U008,R064,5,0.416,15.0,90.0,0,0.6885
U008,R029,3,0.678,23.0,95.0,0,0.6531
U008,R030,2,0.453,4.0,72.0,0,0.4118
U008,R085,1,0.566,21.0,88.0,0,0.4639
U008,R067,3,0.727,31.0,72.0,0,0.6485
U008,R088,4,0.445,23.0,79.0,0,0.6329
U008,R079,4,0.582,30.0,85.0,0,0.7046
U008,R028,3,0.49,11.0,90.0,0,0.5525
U008,R062,3,0.69,29.0,72.0,0,0.632
U008,R115,1,0.718,13.0,99.0,0,0.4948
U008,R050,5,0.754,20.0,79.0,1,0.7692
U008,R063,3,0.843,23.0,82.0,1,0.6684
U008,R073,3,0.7,24.0,84.0,0,0.6403
U008,R089,5,0.65,16.0,84.0,1,0.7387
U008,R049,3,0.495,18.0,100.0,0,0.5992
U009,R029,5,0.536,22.0,60.0,0,0.684
U009,R073,2,0.753,27.0,65.0,1,0.5564
U009,R010,5,0.5,21.0,73.0,0,0.6974
U009,R042,3,0.676,25.0,75.0,0,0.6199
U009,R114,3,0.891,15.0,70.0,1,0.6273
U009,R025,4,0.61,26.0,74.0,0,0.675
U009,R083,1,0.57,5.0,63.0,0,0.3567
U009,R104,3,0.606,11.0,74.0,0,0.5495
U009,R119,1,0.605,22.0,78.0,0,0.4572
U009,R019,1,0.577,35.0,68.0,0,0.4775
U009,R048,3,0.699,14.0,77.0,0,0.5897
U009,R120,2,0.552,11.0,71.0,0,0.46
U009,R028,5,0.664,11.0,68.0,1,0.692
U009,R078,1,0.479,5.0,69.0,0,0.3459
U009,R040,3,0.789,32.0,51.0,0,0.6256
U009,R072,4,0.503,20.0,66.0,0,0.6105
U009,R094,3,0.546,21.0,60.0,0,0.5429
U009,R038,5,0.913,30.0,56.0,1,0.7993
U010,R100,1,0.627,13.0,75.0,0,0.424
U010,R096,2,0.618,17.0,92.0,0,0.5403
U010,R012,3,0.744,32.0,86.0,0,0.6844
U010,R076,5,0.468,4.0,94.0,0,0.6695
U010,R055,1,0.657,7.0,90.0,0,0.4397
U010,R089,4,0.693,24.0,70.0,1,0.6805
U010,R028,4,0.611,8.0,82.0,0,0.6258
U010,R112,2,0.727,42.0,83.0,0,0.6405
U010,R099,5,0.59,23.0,71.0,0,0.7231
U010,R093,3,0.408,11.0,82.0,0,0.516
U010,R026,1,0.635,4.0,85.0,0,0.4133
U010,R085,1,0.577,10.0,83.0,0,0.4166
U010,R118,1,0.602,24.0,84.0,0,0.4758
U010,R029,3,0.563,34.0,90.0,0,0.6544
U010,R090,1,0.725,30.0,83.0,0,0.5263
U010,R072,5,0.555,18.0,70.0,0,0.6942
U010,R088,2,0.749,35.0,72.0,0,0.5985
U010,R095,5,0.602,23.0,62.0,0,0.7081
U010,R065,2,0.631,8.0,92.0,0,0.5108
U011,R076,5,0.276,4.0,67.0,0,0.5675
U011,R004,4,0.669,5.0,52.0,1,0.5694
U011,R073,5,0.597,34.0,61.0,0,0.7449
U011,R046,3,0.443,14.0,63.0,0,0.4977
U011,R014,4,0.724,20.0,57.0,1,0.6477
